id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1346,2026,Oso Ighodaro,53,20.0,5.4,4.5,1.8,0.6,0.9
1347,2026,Gui Santos,42,13.9,5.4,2.8,1.4,0.3,0.6
1348,2026,Josh Okogie,51,19.8,5.3,2.9,0.9,0.2,0.9
1349,2026,Jase Richardson,37,12.1,5.1,1.3,1.2,0.1,0.3
1350,2026,Gary Payton II,48,12.8,5.1,3.2,1.5,0.3,0.6
1351,2026,Jarred Vanderbilt,42,19.4,5.1,5.1,1.4,0.4,1.0
1352,2026,Tyler Kolek,45,13.8,5.0,1.9,3.1,0.1,0.4
1353,2026,Noah Penda,36,13.9,5.0,3.8,1.2,0.4,0.6
1354,2026,Tyrese Proctor,38,10.5,4.9,1.1,1.4,0.0,0.4
1355,2026,Craig Porter Jr.,47,18.1,4.9,3.5,3.2,0.6,1.0
1356,2026,Mitchell Robinson,37,19.9,4.8,8.9,1.0,1.1,0.8
1357,2026,Mouhamed Gueye,51,16.4,4.8,3.6,1.0,0.5,0.8
1358,2026,Karlo Matkovic,41,12.8,4.7,3.1,0.7,0.7,0.4
1359,2026,Justin Edwards,39,14.0,4.6,1.4,1.1,0.2,0.6
1360,2026,Dalton Knecht,41,11.5,4.6,1.4,0.3,0.2,0.2
1361,2026,Micah Peavy,45,15.3,4.4,2.0,1.0,0.1,0.7
1362,2026,Mike Conley,44,18.5,4.4,1.8,2.9,0.3,0.6
1363,2026,Nicolas Batum,50,19.6,4.4,2.6,0.8,0.4,0.7
1364,2026,Ochai Agbaji,42,15.5,4.3,2.3,0.7,0.3,0.4
1365,2026,Zeke Nnaji,39,12.8,4.2,2.8,0.5,0.5,0.3
1366,2026,Adem Bona,43,16.2,4.1,4.0,0.2,1.3,0.3
1367,2026,Tony Bradley,38,10.9,4.0,2.8,0.5,0.2,0.2
1368,2026,Hugo Gonzalez,47,15.4,3.9,3.4,0.6,0.3,0.6
1369,2026,Keaton Wallace,40,11.2,3.9,1.2,2.0,0.1,0.5
1370,2026,Clint Capela,45,11.7,3.8,4.6,0.6,0.7,0.5
1371,2026,Jaylen Clark,50,13.9,3.8,1.9,0.6,0.2,0.7
1372,2026,Jabari Walker,45,12.1,3.7,3.1,0.5,0.2,0.4
1373,2026,Cam Christie,36,10.1,3.6,1.6,0.6,0.1,0.3
1374,2026,Baylor Scheierman,47,13.9,3.6,2.5,0.9,0.1,0.6
1375,2026,Caleb Martin,45,14.1,3.5,2.5,1.6,0.2,0.7
1376,2026,Guerschon Yabusele,43,9.9,3.2,2.3,0.5,0.2,0.2
1377,2026,Jericho Sims,36,14.7,3.1,4.0,0.8,0.2,0.2
1378,2026,Tyus Jones,49,15.7,3.0,1.1,2.5,0.1,0.7
1379,2026,Carter Bryant,41,8.8,3.0,1.9,0.2,0.2,0.2
1380,2026,Dwight Powell,38,14.1,2.9,3.7,1.0,0.3,0.5
1381,2026,Rayan Rupert,45,12.1,2.9,1.8,0.8,0.0,0.6
1382,2026,Jonathan Isaac,43,10.1,2.8,2.5,0.4,0.6,0.4
1383,2026,Gary Harris,36,14.8,2.6,1.5,1.1,0.1,0.6
1384,2026,Mohamed Diawara,42,6.0,2.3,1.0,0.5,0.1,0.2
1385,2026,Nikola Jokic,37,34.4,28.9,12.2,10.7,0.8,1.4
1386,2026,Giannis Antetokounmpo,30,29.2,28.0,10.0,5.6,0.7,0.9
1387,2026,LeBron James,34,33.2,21.8,5.7,6.8,0.6,1.1
1388,2026,Brandon Miller,36,30.2,20.3,4.7,3.3,0.9,1.0
1389,2026,Jerami Grant,37,29.1,19.1,3.5,2.5,0.6,0.6
1390,2026,Josh Giddey,34,32.1,18.6,8.6,8.8,0.3,0.9
1391,2026,Grayson Allen,35,30.3,17.0,3.0,4.0,0.3,1.4
1392,2026,Jalen Suggs,31,26.4,14.2,4.1,5.2,0.7,1.8
1393,2026,Tobias Harris,35,27.6,13.5,4.7,2.4,0.2,0.9
1394,2026,Miles McBride,35,28.0,12.9,2.6,2.8,0.2,0.9
1395,2026,Khris Middleton,34,24.3,10.3,3.9,3.3,0.3,0.8
1396,2026,Bilal Coulibaly,31,26.6,9.7,4.6,2.6,0.9,1.4
1397,2026,Corey Kispert,33,20.0,9.7,2.2,1.6,0.1,0.4
1398,2026,GG Jackson,31,18.2,8.7,3.5,1.1,0.6,0.7
1399,2026,Jaden Ivey,35,17.7,8.4,2.3,1.7,0.3,0.6
1400,2026,Daniel Gafford,36,21.4,8.3,6.6,0.9,1.3,0.8
1401,2026,Caris LeVert,34,19.6,7.8,1.8,2.9,0.6,0.9
1402,2026,Vince Williams Jr.,35,21.3,7.8,3.9,4.3,0.4,0.8
1403,2026,Al Horford,32,20.3,7.4,4.8,2.3,1.1,0.8
